District,Cases
Dhaka ,3751
Gazipur ,322
Kishoreganj ,200
Madaripur ,39
Manikganj ,21
Narayanganj ,923
Munshigonj ,110
Narsingdi ,145
Rajbari ,17
Faridpur ,12
Tangail ,29
Shariatpur ,30
Gopalganj ,45
Chattogram ,74
Cox's bazar ,23
Cumilla ,93
B. Baria ,40
Laksmipur ,35
Noakhali ,6
Chandpur ,14
Moulovi Bazar ,12
Sunamganj ,28
Hobiganj ,53
Sylhet ,18
Rangpur ,31
Gaibandha ,21
Nilphamari ,13
Lalmonirhat ,3
Kurigram ,7
Dinajpur ,20
Thakurgaon ,16
Khulna ,11
Narail ,13
Chuadanga ,9
Mymensingh ,143
Jamalpur ,61
Netrokona ,29
Sherpur ,25
Barguna ,30
Barishal ,40
Potuakhali ,27
Pirojpur ,9
Jhalokathi ,8
Rajshahi ,19
