1,2
B. Baria,186
Bagerhat,46
Bandarban,41
Barguna,81
Barishal,182
Bhola,69
Bogura,269
Chandpur,255
Chapainawabganj,64
Chattogram,2998
Chuadanga,111
Cox’s bazar,969
Cumilla,1195
Dhaka (District),1458
Dhaka City,20259
Dinajpur,182
Faridpur,348
Feni,257
Gaibandha,63
Gazipur,1165
Gopalganj,287
Hobiganj,175
Jamalpur,294
Jessore,165
Jhalokathi,39
Jhenaidah,57
Joypurhat,183
Khagrachari,47
Khulna,159
Kishoreganj,314
Kurigram,74
Kushtia,126
Laksmipur,144
Lalmonirhat,42
Madaripur,203
Magura,37
Manikganj,167
Meherpur,30
Moulovi Bazar,116
Munshigonj,985
Mymensingh,571
Naogaon,212
Narail,34
Narayanganj,2598
Narshingdi,191
Natore,67
Netrokona,269
Nilphamari,138
Noakhali,838
Pabna,84
Panchagar,52
Pirojpur,38
Potuakhali,89
Rajbari,90
Rajshahi,81
Rangmati,68
Rangpur,511
Satkhira,49
Shariatpur,153
Sherpur,121
Sirajganj,42
Sunamganj,217
Sylhet,676
Tangail,55
Thakurgaon,74
