0,1
Abdullahpur,28
Adabor,80
Aftabnagar,17
Agargaon,112
Ahmed Nagar,2
Ahmedabag,13
Airport,10
Aminbazar,2
Amlapara,2
Arambagh,11
Armanitola,7
Asad Gate,1
Ashkona,4
Ashulia,4
Azimpur,96
Babu Bazar,162
Badam Toli,2
Badda,206
Baganbari,2
"Bahadur 
Bazar",1
Baily Road,27
Bakshibazar,12
Banani,95
Banasree,74
Bangla bazar,4
Banglamotor,11
Bangshal,113
Banianagar,1
Baridhara,47
Basabo,130
Bashundhora,85
Begum Bazar,2
Begunbari,4
Beribadh,1
Bijoynagar,2
Bokshi Bazar,5
Bosila,5
Buet Area,1
Cantonment,43
Central Road,6
Chankharpool,50
Dakshinkhan,14
Dania,25
Demra,73
Dhakkeshori,1
Dhalpur,21
Dhanmondi,317
Dholaikhal,2
Dholaipar,11
Doyaganj,3
"Elephant 
Road",40
English Road,5
Eskaton,72
Fakirapool,10
Farasganj,2
Faridabad,2
Faridabagh,7
Farmgate,58
Forashganj,2
Foridabad,2
Fulbaria,18
Gabtoli,6
Gausia,12
Gendaria,149
Golapbagh,22
Golartek,1
Gonoktuli,5
Gopibag,43
Goran,31
Green Road,72
Gudaraghat,1
Gulbag,2
Gulistan,11
Gulshan,176
Hajipara,7
Hatir jhil,7
Hatirpool,42
Hatkhula,1
Hazaribagh,101
Ibrahimpur,13
Indira Road,6
Islambagh,10
Islampur,10
Jatrabari,398
Jigatala,26
Jinjira,1
Jurain,64
Kafrul,53
kajla,3
Kakrail,300
Kalabagan,63
Kallyanpur,68
Kamalapur,38
"Kamrangir 
Char",56
Kanchpur,3
Katashpur,2
Kathalbagan,40
Kawran Bazar,28
Kazi para,20
Khilgaon,234
Khilkhet,27
Kochukhet,9
Kodomtoli,34
Kodomtoli,6
Koltabazar,1
Konapara,7
Koratitola,1
Kosaituli,1
Kotowali,31
Kuril,10
Kutubkhali,7
Lalbagh,224
Lalkuthi,4
Lalmatia,66
Laxmibazar,27
Madartek,9
Malibagh,171
Malitola,4
Manda,57
Manikdi,1
Maniknagar,53
Matikata,5
Matuail,19
Meradia,11
Merul,1
Mirhajaribagh,8
Mirpur,684
Mirpur 7,6
Mirpur-1,88
Mirpur-10,29
Mirpur-11,55
Mirpur-12,78
Mirpur-13,18
Mirpur-14,49
Mirpur-2,30
Mirpur-6,18
Mitford,48
Mogbazar,263
Mohakhali,471
"Mohammadp
ur",425
Mohonpur,8
Monipur,9
Motijeel,57
Mouchak,3
Mugda,434
Nakhalpara,44
Nandi Para,12
Narinda,43
Nawabpur,6
Nayabazar,58
Nayapaltan,2
Nazirabazar,10
Neemtoli,11
New market,17
Niketon,20
Nikunja,9
Nilkhet,6
Paikpara,19
Pallabi,34
Paltan,66
Panthapath,37
Pirerbagh,11
Poribagh,20
Postogola,11
Purana Paltan,27
Raja Bazar,39
Rajarbagh,222
Rampura,220
Rasulbagh,4
Rayerbagh,22
Rayerbazar,35
Rosulpur,8
Rupganj,2
Rupnagar,8
Sabujbagh,34
Sadarghat,6
Sahjadpur,7
Sahjanpur,55
Sankar,3
Science Lab,1
Segunbagicha,45
Senpara,2
Shah Ali Bagh,2
Shahbag,96
Shakharibazar,34
Shampur,22
Shankar,1
Shantibagh,42
Shantinagar,87
Shaymoli,107
"Sher-E-Bangla 
Nagar",93
Shewrapara,20
Shohid Nagar,10
Showari Ghat,3
Siddheshwari,28
Siddik Bazar,3
Sipahibag,5
Sonir akhra,34
Sukrabad,1
Sutrapur,56
Swamibagh,59
Tallabagh,4
TatiBazar,18
Tejgaon,267
Tejkunipara,6
Tezturi Bazar,5
Tikatoli,43
Tolarbag,21
Turag,4
Urdu Road,1
Uttara,456
Vasantek,7
Vatara,54
Wari,128
