District,Cases
Dhaka ,17998
Gazipur ,1115
Kishoreganj ,233
Madaripur ,175
Manikganj ,165
Narayanganj ,2333
Munshigonj ,818
Narsingdi ,184
Rajbari ,90
Faridpur ,240
Tangail ,53
Shariatpur ,125
Gopalganj ,239
Chattogram ,2662
Cox's bazar ,887
Cumilla ,1038
B. Baria ,121
Laksmipur ,142
Noakhali ,726
Chandpur ,178
Moulovi Bazar ,100
Sunamganj ,130
Hobiganj ,170
Sylhet ,465
Rangpur ,469
Gaibandha ,53
Nilphamari ,138
Lalmonirhat ,38
Kurigram ,71
Dinajpur ,179
Thakurgaon ,65
Khulna ,100
Narail ,30
Chuadanga ,101
Mymensingh ,491
Jamalpur ,209
Netrokona ,225
Sherpur ,87
Barguna ,71
Barishal ,126
Potuakhali ,87
Pirojpur ,34
Jhalokathi ,30
Rajshahi ,80
